a, Profile #1
4.0
1
357
0
0
0	4	45.96
4	4	45.77
8	4	47.09
12	4	40.78
16	4	43.73
20	4	40.99
24	4	47.01
28	4	55.45
32	4	58.18
36	4	55.99
40	4	53.81
44	4	56.03
48	4	51.88
52	4	45.7
56	4	52.47
60	4	45.05
64	4	45.3
68	4	40.07
72	4	38.32
76	4	35.63
80	4	42.71
84	4	43.1
88	4	51.59
92	4	46.26
96	4	54.89
100	4	53.57
104	4	56.05
108	4	52.8
112	4	51.4
116	4	48.15
120	4	43.62
124	4	39.1
128	4	44.62
132	4	40.41
136	4	42.59
140	4	38.03
144	4	36.16
148	4	30.41
152	4	33.57
156	4	30.4
160	4	37.43
164	4	33.44
168	4	38.91
172	4	37.97
176	4	39.06
0	8	55
4	8	55.16
8	8	51.53
12	8	52.35
16	8	55.11
20	8	58.01
24	8	63.82
28	8	53.15
32	8	33.23
36	8	54.97
40	8	56.49
44	8	48.18
48	8	43.71
52	8	46.86
56	8	47.66
60	8	44.58
64	8	42.91
68	8	39.04
72	8	40.98
76	8	49.29
80	8	53.55
84	8	48.11
88	8	46.18
92	8	51.79
96	8	54.47
100	8	49.43
104	8	49.71
108	8	45.9
112	8	42.91
116	8	33.19
120	8	33.16
124	8	31.46
128	8	27.02
132	8	25.71
136	8	28.5
140	8	28.1
144	8	27.73
148	8	29.37
152	8	32.78
156	8	31.56
160	8	31.26
164	8	34.16
0	12	52.28
4	12	53
8	12	52.63
12	12	58.2
16	12	71.65
20	12	54.83
24	12	49.54
28	12	35.77
32	12	45.66
36	12	44.95
40	12	41.81
44	12	40.83
48	12	43.56
52	12	43.07
56	12	40.53
60	12	33.04
64	12	36.75
68	12	40.38
72	12	44.23
76	12	43.59
80	12	41.29
84	12	37.63
88	12	37.97
92	12	38.02
96	12	38.3
100	12	34.56
104	12	31.8
108	12	29.62
112	12	28.17
116	12	24.37
120	12	24.71
124	12	23.94
128	12	24.67
132	12	23.69
136	12	24.1
140	12	22.51
144	12	24.44
148	12	24.58
152	12	27.42
0	16	47.9
4	16	51.81
8	16	67.98
12	16	53.73
16	16	51.35
20	16	46.98
24	16	33.2
28	16	36.07
32	16	36.83
36	16	38.53
40	16	38.61
44	16	37.95
48	16	33.66
52	16	31.52
56	16	30.65
60	16	31.77
64	16	31.88
68	16	33.08
72	16	32.9
76	16	33.91
80	16	29.77
84	16	26.56
88	16	26.62
92	16	27
96	16	25.45
100	16	23.69
104	16	23.88
108	16	22.18
112	16	18.31
116	16	21.48
120	16	21.92
124	16	21.35
128	16	19.91
132	16	18.53
136	16	17.85
140	16	18.67
0	20	55.87
4	20	47.14
8	20	44.08
12	20	46.58
16	20	42.91
20	20	22.32
24	20	35.64
28	20	34.18
32	20	31.33
36	20	27.94
40	20	30.97
44	20	28.6
48	20	26.26
52	20	22.76
56	20	27
60	20	24.9
64	20	24.39
68	20	25.18
72	20	22.74
76	20	28.54
80	20	23.61
84	20	21.04
88	20	20.81
92	20	21.29
96	20	19.84
100	20	19.53
104	20	19.02
108	20	17.29
112	20	22.03
116	20	17.52
120	20	16.85
124	20	16.22
128	20	16.64
0	24	40.09
4	24	36.08
8	24	40.22
12	24	38.76
16	24	23.29
20	24	32.85
24	24	30.35
28	24	26.01
32	24	20.6
36	24	23.71
40	24	21.79
44	24	23.3
48	24	19.13
52	24	19.2
56	24	21.46
60	24	20.63
64	24	19.37
68	24	21.07
72	24	19.18
76	24	23.93
80	24	20.62
84	24	17.26
88	24	21.18
92	24	16.98
96	24	15.98
100	24	15.22
104	24	16.01
108	24	16.03
112	24	16.19
116	24	13.53
0	28	36.88
4	28	36.58
8	28	33.76
12	28	12.01
16	28	30.76
20	28	26.76
24	28	19.75
28	28	6.01
32	28	19.15
36	28	20.54
40	28	18.07
44	28	17.6
48	28	17.45
52	28	16.69
56	28	17.34
60	28	19.04
64	28	18.98
68	28	20.15
72	28	17
76	28	22.89
80	28	18.88
84	28	18.47
88	28	14.25
92	28	13.37
96	28	13.71
100	28	12.95
104	28	15.04
0	32	30.16
4	32	30.22
8	32	1.7
12	32	25.46
16	32	14.9
20	32	20.18
24	32	13.2
28	32	17.66
32	32	15.05
36	32	16.52
40	32	14.06
44	32	17.49
48	32	20.61
52	32	16.79
56	32	18.41
60	32	17.3
64	32	17.22
68	32	17.56
72	32	14.83
76	32	24.44
80	32	38.72
84	32	12.14
88	32	13.58
92	32	12.71
0	36	26.89
8	36	21.62
12	36	19.21
16	36	18.4
20	36	17.85
24	36	15.77
28	36	15.26
32	36	13.14
36	36	15.05
40	36	8.05
44	36	16.57
48	36	15.65
52	36	15.23
56	36	17.58
60	36	17.44
64	36	14.72
68	36	15.94
72	36	12.07
76	36	72.27
80	36	16.21
4	40	19.2
8	40	18.73
12	40	17.3
16	40	15.1
20	40	16.83
24	40	15.55
28	40	14.92
36	40	14.53
40	40	12.44
44	40	16.39
48	40	15.43
52	40	12.82
56	40	20.11
60	40	14.37
64	40	12.75
68	40	16.43
0	44	16.3
4	44	16.81
8	44	13.93
12	44	16.05
16	44	17.31
20	44	16.56
24	44	8.93
28	44	12.18
32	44	7.88
36	44	13.66
40	44	13.34
44	44	14.65
48	44	13.73
52	44	11.92
56	44	15.42
0	48	16.7
4	48	15.44
8	48	13.03
12	48	15.88
16	48	11.94
20	48	14.71
24	48	10.9
28	48	11.05
32	48	10.22
36	48	11.98
40	48	12.78
44	48	15.02
0	52	13.76
4	52	12.38
8	52	9.84
12	52	15.39
16	52	13.04
20	52	11.89
24	52	11.07
28	52	10.05
32	52	10.04
0	56	4.6
4	56	11.63
8	56	10.84
12	56	12.55
16	56	10.98
20	56	14.21
0	60	10.62
4	60	9.75
8	60	11.58
0
0
0
0
0
